,Movie_Session,Movie_Tittle,Type,Comment_Content,Link
1,39,少年的你,Best Film,"Every June, almost 10 million Chinese students sit for the National College Entrance Examination, or the ""Gaokao"". For many, this nine-hour exam is considered the most important deciding factor in a student's future: Success on the Gaokao is what determines acceptance to China's universities, which in turn determines one's future career.

Although Better Days was initially censored by the Chinese government, the decision was later changed and the movie began showing in theaters. It's not hard to see why it enticed controversy in the first place as it portrays the Gaokao as a high pressure environment that fosters bullying, mental illness, and suicide. It opens a window to a world where students study endless hours in cram schools for their chance at a good future. Accountability in bullying cases is a recurring theme that underlies the movie.

But don't get this wrong, this isn't a story about the Gaokao. This is a story about heartbreak. Heartbreak for students who are bullied by their peers. Heartbreak for single parents who put their hopes and dreams on their children. Heartbreak for those who love unconditionally and are willing to sacrifice everything. Dongyu Zhou (Soul Mate, Under the Hawthorn Tree) and Jackson Yee (TFboys) are deft as two halves of a love story while Director Derek Tsang masterfully captures the sheer range of both leads. The cinematography doesn't go unnoticed either as every shot has tremendous depth for those paying close attention.

Of the many lines that stand out in this movie, one that resonates particularly is ""If you weren't the bully, then you were being bullied."" To me, this is what makes the film so powerful: its ability to pull at your heart over and over again. Go out and see this film. When you leave the theater, reflect on what you saw. Wonder how despite how far we have come, we still have so much left to go.",https://www.imdb.com/title/tt9586294/reviews?ref_=tt_urv
2,39,少年的你,Best Art Direction,"Bullying ~ the big menace in school. How it affects the bullied person mentally, emotionally, physically. The role of parenting. Not only giving birth but also becoming the parent. The school, teachers, parents, law, and above all we people; have to stop it. The story telling is good. The sacrifice we make, for the other persons.. Important message given which we dont think is a big issue. We take certain issues less important but actually being much more important. Questions raised on loyality, friends, bullying, parenting and much more. See for the message!",https://www.imdb.com/title/tt9586294/?ref_=fn_al_tt_1
3,39,中國機長,Best Visual Effects,"Trust veteran Hong Kong director Andrew Lau to turn what has been termed a 'miracle emergency landing' in real life into a nail-biting disaster movie that pays tribute to its ordinary heroes - especially as the title mentions, the pilot who steeled his nerves and trusted his instincts to save the lives of 119 passengers and eight other crew members. That individual is Captain Liu Chuanjian, a former Air Force pilot turned Sichuan Airlines staff, whose flight from Chongqing to Lhasa on the morning on 14 May 2008 was met with a shattered windscreen about 150km from Chengdu and had to pilot the plane through the mountainous Tibetan region to reach the nearest airport.

As played by Zhang Hanyu, the onscreen Liu is a stoic, almost stern, no-nonsense figure who demands the highest standards from his fellow crew, in particular his young co-pilot Liang Peng (Oho Ou). Although Liu gives the movie its title, apart from the scenes bookending the film showing him leaving and returning to his wife and young daughter, the film is only about him insofar as it relates to the events of Sichuan Airlines Flight 8633 (3U8633) that fateful day, so don't expect this to be a character study like Clint Eastwood's 'Sully'; indeed, what it does want us to learn about Liu, and what it portrays magnificently, is his composure, adroitness and perseverance under tremendous conditions, given the sudden loss of pressure and temperature in the cockpit upon the loss of the plane's windshield.

Together with his writer Yu Yonggan (who also wrote this summer's 'The Bravest'), Lau zooms in on three key periods during the harrowing journey: when the windshield first blew out and the plane dropped 8000ft from its cruising altitude; when Liu had to fly through a thunderstorm over the Tibetan mountains in order to get to Chengdu's Shuangliu Airport; and when Liu had to land the overweight plane on the runway as well as bring it to a halt without either thrust reversers working. Even though you're fully aware that the crew will pull through, each of these periods is an edge-of-your-seat sequence in itself, with Lau skilfully toggling between the cockpit and the cabin to illustrate the reactions of the pilots versus the passengers and stewardesses.

Whereas Liu anchors the cockpit, it is inflight service manager Bi Nan (Quan Yuan) who takes the lead in the cabin - not only is she an exemplar in guiding her younger colleagues to serve with commitment and professionalism, such as in dealing with self-entitled business-class passengers, she is Liu's complement in managing the anxiety among the passengers so as to avoid pandemonium from breaking out in the cabin (therefore allowing Liu to focus on bringing the plane under control). Like Liu, the film mostly shows her in relation to the crisis, so even though there is some hint that she is going through a rough patch in her marriage, we are never really told what exactly it is, and therefore fully grasp how her perspective on that changes after the incident.

Interestingly, while convention would have dictated that the film pick a couple of passengers to show how the brush with death changes their attitude towards life and/or their loved ones, Lau decides to make his movie an engaging procedural about airport and airline operations, as well as air traffic management. With some deft editing by Azrael Chung, Lau assembles a couple of intriguing montages that show how the crew of 3U8633 get ready for takeoff, how control is handed over from the airport control tower to the air traffic control centre at various altitudes, the interfacing between civilian and military in air traffic management (ATM), and the coordination among various parts of airport operations in preparation for the flight's emergency landing. The involvement of the Civil Aviation Authority of China (CAAC) ensures the authenticity of these scenes, with the CAAC head honcho Feng Zhenglin credited as chief consultant no less, but it is to Lau's credit that the nuts and bolts of airport and ATM operations in response to the disaster is as fascinating to watch as what went on inside the plane itself.

That said, even as there is less emphasis than expected on the passengers, Lau doesn't lose the poignancy within these harrowing moments. From a husband confessing to his wife that he is going to be a chef at a work site than at a high-class hotel in Lhasa, to the wife of the plane's third pilot waiting feverishly on the ground, and to Liu's own wife trying hard not to lose her cool in front of their young daughter, Lau captures the gamut of emotions from those in the air to those on the ground as the events unfold, and wisely chooses not to dwell on them excessively in order to avoid turning his movie into melodrama.

Whether as a proactive or necessary addition to appease the infamous Chinese censors, 'The Captain' ends on a slightly awkward note as Liu and the rest of the crew of 3U8633 sing a patriotic song celebrating the motherland. That aside, this portrait of the heroic actions of one ordinary person, as well as the professionalism of those involved in one way or another, is gripping, rousing and even informative, showing a director at the very top of his game. We dare say it is one of our favourite Mainland Chinese films this year, and we dare guarantee you'll be similarly enraptured by this effortless crowdpleaser. As paradoxical as it sounds, this is one flight you won't want to miss.",https://www.imdb.com/title/tt10218664/?ref_=fn_al_tt_1
4,38,三夫Three Husbands,Best Film,"Seven wins and 11 nominations? That headline might have been rewritten as ""most creative ways to have sex"". I think I've seen most if not all of Fruit Chan's other films, and while he is undoubtedly a famous, talented, and creative director, this effort was really over the top. I'm not so certain Mui was really enjoying her work, but am certain I will never look at a prosthetic arm, an eel, or a papaya in the same way ever again. Somehow this lurched from one event to the next, but I will say it captured Aberdeen and Tai O's raunchy flavours neatly. The subtitles were absolutely brilliant and captured the vernacular perfectly.",
5,38,西遊記女兒國Cho Hwa Sung,Best Art Direction,"
Supernatural beings repeatedly attack the heroes of “The Monkey King 3,” but love, not war, is the principal threat in this CGI-heavy Chinese adventure. Pious monk Xuanzang (William Feng) is traveling to the fabled West to retrieve essential Buddhist scriptures when he encounters an elk­riding queen (Zanilia Zhao) who’s never seen a man before. She falls for him, and Xuanzang is tempted as well, although his calling is to love all creation, not just a single, doe-eyed beauty.
Xuanzang is the central character, as he is in the movie’s source, “Journey to the West,” a much-adapted 16th-century novel. But when there’s fighting to be done, director Soi Cheang shifts his focus to the monk’s playful companion, man-monkey Wukong (Aaron Kwok). Also on the quest are blue-skinned Wujing (Him Law) and pig-faced Bajie (Xiaoshenyang). All four are male, which is a problem after they follow the queen to her home, the Womanland, where, as we are told, “being a man is a capital offense.” Escaping execution at the hands of the queen’s dogmatic enforcer (Gigi Leung) becomes foremost on the pilgrims’ agenda.
Wukong and his pals tangle with giant scorpions and a lovelorn river god (Lin Chi-ling) who can take the form of a dragon-whale. But much of “The Monkey King 3” is devoted to philosophical musing and romantic mooning, the latter cued to a drippy ballad. Viewers who aren’t in the mood for star-crossed love will prefer the slapstick and earthy humor, including a sequence in which three of the guys get pregnant. It’s another fine mess the resourceful monkey king has to rescue his comrades from.
Unrated. At the AMC Loews Rio Cinemas 18. Contains cartoonish violence and a subplot about abortion. In Mandarin with subtitles. 116 minutes.

1 Comments
MORE FROM THE POST
Image without a caption
Mexico City subway overpass collapses; at least 23 dead as metro cars topple
Today at 8:29 a.m. EDT
Image without a caption
New York Gov. Cuomo stuns Broadway and cultural world with lifting of pandemic capacity restrictions on May 19
May 2, 2021
Image without a caption
Banning menthol cigarettes could put Black smokers in a new kind of danger
Opinion·May 2, 2021
Image without a caption
Facebook’s Oversight Board has decided the fate of Trump’s account. Here’s everything you need to know.
May 2, 2021
Image without a caption
The coronavirus vaccine skeptics who changed their minds
May 2, 2021
PAID PROMOTED STORIES
 Ardern says differences with China harder to reconcile
Ardern says differences with China harder to reconcile
Nikkei Asia
 1 in 2 Mac Users Are Unaware of This Trick to Clean Their Mac.
1 in 2 Mac Users Are Unaware of This Trick to Clean Their Mac.
MacKeeper
 Plastic Surgeon Reveals The 1 Thing Every Woman Should Be Using Instead Of Moisturizer
Plastic Surgeon Reveals The 1 Thing Every Woman Should Be Using Instead Of Moisturizer
Skin Care Guru
 Mind Blowing: #1 Antivirus Now Free For Mac Users.
Mind Blowing: #1 Antivirus Now Free For Mac Users.
My Antivirus Review
 Hong Kong emigration wave takes toll on its least political residents - its pets
Hong Kong emigration wave takes toll on its least political residents - its pets
CNA
 Cara and Poppy Delevingne List Whimsical Los Angeles Home for $3.75 Million
Cara and Poppy Delevingne List Whimsical Los Angeles Home for $3.75 Million
Mansion Global
Recommended by",https://www.washingtonpost.com/goingoutguide/movies/the-monkey-king-3-is-a-slapstick--and-cgi-heavy-chinese-fantasy-adventure/2018/02/15/deeb4398-0ddf-11e8-8890-372e2047c935_story.html
6,38,西遊記女兒國,Best Visual Effects,"The 16th-century Chinese novel “Journey to the West” has been mined for countless movies and TV shows, including the international blockbuster hits “The Monkey King” and “The Monkey King 2.” Like its predecessors, the third “Monkey King” adapts a small segment of the 100-chapter epic — and does so well enough to suggest that this series should keep on rolling.

Once again, talented director Soi Cheang applies his knack for purely visual storytelling to an effects-heavy production. “The Monkey King 3” brings back Aaron Kwok as the mischievous magical primate, who along with a motley crew of colorful creatures is still accompanying Buddhist monk Xuanzang (William Feng) on a mission to retrieve sacred scriptures.

This time, the team gets waylaid in a hidden matriarchal community where the Queen (Zanilia Zhao) holds them captive in hopes that Xuanzang will marry her and fulfill a prophecy.

As with the earlier “Monkey King” films, the third is exhausting whenever it leans on kid-friendly animal antics and earthy humor. A stretch of the story where the male heroes become pregnant from drinking enchanted water is interminable.",https://www.latimes.com/entertainment/movies/la-et-mn-mini-monkey-king-3-review-20180215-story.html
7,37,拆彈專家 Shock Wave,Best Film,"Andy Lau plays the head of the bomb dismantling division of the police who goes undercover to infiltrate a group of robbers who use bombs. This gang's careless actions when life is concern made this cop take drastic measures to bring them down. Because of this, the bad guy seeks revenge from this cop by taking his hostage negotiation to get his brother back very personal.

And the bad guy for this movie was really bad ass. Just that right touch of evil that only makes the good guy that is Andy Lau look better.

A very instance thriller that's very action packed, but there was also a sub story about Andy Lau's character finding love with a school teacher. It's rare that I've seen people kissing in Chinese Cinema. Maybe I'm watching the wrong movies, but I've seen Chinese action movies in which the lead star has girlfriends or wives, but they never touch each other, and even though I grew up in America were our action heroes go beyond touching the leading ladies, it was odd to watch Lau give so very long and romantic kisses to his leading lady.

But as interesting as that was, first and foremost,this was a great action movie from beginning to end. Worth seeing.",https://www.imdb.com/title/tt5847286/reviews?ref_=tt_urv
8,37,西遊伏妖篇,Best Art Direction,"There will never be an end of adaptations of Journey to the West, the most famous of Chinese adventure stories. This new one marks the first significant collaboration between two legends of Hong Kong cinema, both now working on the Chinese mainland: Stephen Chow, a master of burlesque, and Tsui Hark, whose special gift is for action and fantasy.
",https://www.theage.com.au/entertainment/movies/journey-to-the-west--the-demons-strike-back-review-chinese-adventure-tale-an-enjoyable-if-inferior-sequel-20170201-gu2u77.html
9,37,西遊伏妖篇,Best Visual Effects,"Although they’re often designed to remind audiences of what they liked about a previous movie, sequels often have to settle for a less glamorous version of that job description: reminding audiences that what they liked about a previous movie can be difficult to reproduce, even if the movie in question wasn’t a stone-cold classic. Stephen Chow’s Journey To The West: Conquering The Demons is not one of his very best films; it sometimes gets bogged down in its mythology, and its comic snap isn’t as crisp or consistent as The Mermaid, let alone something like Kung Fu Hustle. But its new sequel, Journey To The West: The Demons Strike Back, is an object lesson in the relative specialness of even a second-tier Chow effort.

Chow has returned to write and produce this sequel, handing the directing reins over to veteran filmmaker Tsui Hark. Hark approximates the basic tone of the first movie, mixing cartoonish slapstick, whimsical special effects, and spiritual questing, but Chow’s anarchic comedy doesn’t always translate from his screenplay to another director’s camera. If anything, Demons Strike Back is an even zanier and more kid-friendly affair than the Chow original. Yet without Chow’s unique strain of silliness, it also feels louder and more antic while covering less ground.

In the previous film, loosely based on classic Chinese literature, Tang was set on a path toward Buddhist enlightenment after floundering as a demon hunter, rising to the occasion, and losing the love of his life. The sequel picks up with Tang (Kris Wu, taking over the role from Wen Zhang) accompanied by three animal-human shapeshifting gods, the Monkey King (Kenny Lin), Pigsy (Yang Yiwei), and fishlike Sandy (Mengke Bateer), now his disciples, which is to say his reluctant sidekicks. (The Monkey King has been just barely tamed since the last movie, but still sometimes yearns to turn against his master.) Tang is on a pilgrimage but still fights demons along the way, during house calls that are somewhere between exorcisms (the animal demons possess human bodies) and ghostbusting (their possessions tend to be colorful and not straight horrific).",https://film.avclub.com/a-journey-to-the-west-sequel-suffers-without-stephen-ch-1798190266
10,36,七月與安生,Best Film,"One of the ways I know a film is good enough for me to find the best words to adorn it is the feel of it the morning after. A good film should be a full emotional experience that you would find it difficult to let go off. It should create a warm hold on our feelings because through the course of the film we have unknowingly become a member of a family. Last night, we lived a lifetime with Qiyue and Ansheng.

The story couldn't be more cloying and overly familiar. Stories like this come a dime in a dozen, but this one is buoyed by the sured hands of debut director Derek Tsang (the son of screen veteran Eric Tsang), an inspired adapted screenplay, crisp editing, superb cinematography, a great soundtrack, and an outstanding sense of place and time. However, all these are naught if it doesn't get the casting right and right it so marvellously did. In the course of Qiyue and Ansheng's story, it is difficult to see any other actresses play their roles. Zhou Dongyu and Ma Sichun are born to play the roles and all the other parts they had played prior to this are just rehearsals for this. These are career defining roles and from this moment onwards, whether who will win the Golden Horse Award doesn't matter, because their stars are going supernova. This film lives or dies at the hands of these two actresses and both of them made it soar higher than it would want to admit.

IMHO the key to the film's structure is not about their relationship but how it lulls us into feeling it is about a relationship between us and both the girls. Who wouldn't want to have a soul mate like how it is depicted, not wishy washy with quick superficial emotions, but heart-wrenchingly hurtful and yet forgivingly embracing.. Their character arcs are superbly rendered with an awesome twist that felt totally earned. For me, the experience plays more like a spiritual experience than like a movie, maybe because I love deep friendships like this that I know can't happen.

Feted with seven Golden Horse nominations, including nominations for both actresses, director, screenplay, make-up, song and editing, my money is on Zhou Dongyu for a heartfelt performance. Her dismissive laugh hides a soul in turmoil so beautifully.

My affection for good films usually grows with familiarity, as it does with music and literature. That's why I can watch a good film again and again and relive the same experience without any dilution in intensity. I have a feeling that Soul Mate has found itself in this category.

Edit: Both actresses were rewarded with the Best Actress award. This is such wonderful news. It will be so cruel if only one got it for what are both towering performances.",https://www.imdb.com/title/tt6054290/reviews?ref_=tt_urv
